island_id,region,ideal_class,baseline_class,climate_class
73787,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
73808,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82041,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
73885,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82082,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
73912,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82173,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82291,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
8589,SPO,High Affordable\nLow Cost,High Affordable\nHigh Cost,High Affordable\nLow Cost
66051,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
66138,SEA,Low Affordable\nLow Cost,Low Affordable\nLow Cost,Low Affordable\nHigh Cost
74350,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74402,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74487,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
66301,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82695,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74522,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
74535,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
82752,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74568,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
74577,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
82783,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82795,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82824,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
82828,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74645,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
66493,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74691,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74694,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
74704,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
74711,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
74717,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
58375,BOB,Low Affordable\nLow Cost,Low Affordable\nLow Cost,Low Affordable\nHigh Cost
58403,BOB,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nLow Cost
74834,SEA,Low Affordable\nHigh Cost,Low Affordable\nLow Cost,Low Affordable\nHigh Cost
74857,SEA,Low Affordable\nLow Cost,Low Affordable\nHigh Cost,Low Affordable\nHigh Cost
