ID,Long,Lat,Country,Island,pop,geometry,id,cluster,Region
4703.0,-75.353661,-50.390018,Chile,Isla Guarello,84.0,POINT (-75.353661 -50.390018),8,0,Unknown
7279.0,-73.467764,-42.962449,Chile,Isla Tranqui,1321.0,POINT (-73.467764 -42.962449),20,1,Unknown
8702.0,-157.341429,-20.16117,Cook Islands,Mauke,150.0,POINT (-157.341429 -20.16117),54,2,Unknown
78909.0,179.241588,-16.602517,Fiji,Vanua Levu,115684.0,POINT (179.241588 -16.602517),1704,3,APAC
9015.0,-149.400753,-17.677486,French Polynesia,Tahiti,166260.0,POINT (-149.400753 -17.677486),69,4,Unknown
9718.0,-139.013922,-9.774777,French Polynesia,Hiva Oa,3556.0,POINT (-139.013922 -9.774777),91,5,Unknown
9832.0,-156.927066,20.834995,United States,Lana?i,2723.0,POINT (-156.927066 20.834995),97,6,US
9906.0,-89.43056,-0.826798,Ecuador,Isla San Cristobal,9031.0,POINT (-89.43056 -0.826798),104,7,Unknown
10218.0,-81.75732,7.470821,Panama,Isla de Coiba,192.0,POINT (-81.75732 7.470821),107,8,Unknown
10344.0,-79.111002,8.264775,Panama,Isla San Jose,193.0,POINT (-79.111002 8.264775),108,9,Unknown
10860.0,-64.184634,10.815933,Venezuela,Isla Cubagua,51.0,POINT (-64.184634 10.815933),114,10,Unknown
11682.0,-63.054398,18.214736,Anguilla,Anguilla,15700.0,POINT (-63.054398 18.214736),150,11,Unknown
11573.0,-61.793378,17.631531,Antigua and Barbuda,Barbuda,1738.0,POINT (-61.793378 17.631531),143,11,Unknown
11229.0,-61.349988,15.434552,Dominica,Dominica,66329.0,POINT (-61.349988 15.434552),131,11,Unknown
11097.0,-61.453587,12.479535,Grenada,Carriacou Island,5368.0,POINT (-61.453587 12.479535),122,11,Unknown
11264.0,-61.268569,15.932114,Guadeloupe,Marie-Galante,12285.0,POINT (-61.268569 15.932114),132,11,Unknown
11221.0,-61.018115,14.652747,Martinique,Martinique,350805.0,POINT (-61.018115 14.652747),130,11,Unknown
11431.0,-62.189685,16.739452,Montserrat,Montserrat,5187.0,POINT (-62.189685 16.739452),137,11,Unknown
11565.0,-63.237528,17.631469,Netherlands Antilles,Saba,1795.0,POINT (-63.237528 17.631469),142,11,Europe
11653.0,-63.062734,18.061742,Netherlands Antilles; Guadeloupe,Ile Saint-Martin,69383.0,POINT (-63.062734 18.061742),147,11,Europe
11519.0,-62.765059,17.339227,Saint Kitts and Nevis,Saint Christopher,37292.0,POINT (-62.765059 17.339227),140,11,Unknown
11193.0,-60.966774,13.898433,Saint Lucia,Saint Lucia Island,156151.0,POINT (-60.966774 13.898433),129,11,Unknown
11176.0,-61.188975,13.251309,Saint Vincent and the Grenadines,Saint Vincent,81984.0,POINT (-61.188975 13.251309),128,11,Unknown
10928.0,-60.666351,11.241491,Trinidad and Tobago,Tobago,50212.0,POINT (-60.666351 11.241491),117,11,Unknown
11143.0,-87.711535,13.190003,El Salvador,Isla Meanguera,1648.0,POINT (-87.711535 13.190003),125,12,Unknown
11270.0,-86.932004,16.097974,Honduras,Isla de Utila,2705.0,POINT (-86.932004 16.097974),133,12,Unknown
12014.0,-86.902482,20.442404,Mexico,Isla Cozumel,97974.0,POINT (-86.902482 20.442404),168,12,Unknown
11779.0,-64.620064,18.424074,British Virgin Islands,Little Wickham's Cay,26556.0,POINT (-64.620064 18.424074),155,13,Unknown
11712.0,-65.289418,18.315046,Puerto Rico,Isla de Culebra,1408.0,POINT (-65.289418 18.315046),151,13,Unknown
11575.0,-64.768456,17.73286,Virgin Islands; U.S.,Saint Croix,49575.0,POINT (-64.768456 17.73286),144,13,Unknown
13007.0,-72.962294,22.374459,Bahamas,Mayaguana Island,232.0,POINT (-72.962294 22.374459),181,14,Unknown
11824.0,-73.748881,18.613216,Haiti,Grande Cayemite,3821.0,POINT (-73.748881 18.613216),159,14,Unknown
12389.0,-71.139484,21.465994,Turks and Caicos Islands,The Island,15849.0,POINT (-71.139484 21.465994),170,14,Unknown
11898.0,-81.243946,19.318442,Cayman Islands,Grand Cayman,54576.0,POINT (-81.243946 19.318442),164,15,Unknown
12526.0,-81.484967,21.634773,Cuba,Cayo Largo,1680.0,POINT (-81.484967 21.634773),173,15,Unknown
14402.0,-80.981059,24.747127,United States,Crawl Key,6637.0,POINT (-80.981059 24.747127),198,15,US
14001.0,-77.777172,24.14929,Bahamas,Middle Bight Cay,357.0,POINT (-77.777172 24.14929),190,16,US
11927.0,-79.798663,19.720189,Cayman Islands,Cayman Brac,1688.0,POINT (-79.798663 19.720189),166,16,Unknown
