Unnamed: 0,ID,Long,Lat,Country,Island,pop,REGION,geometry,id,cluster,Region
0,988.0,-68.960532,-55.246549,Chile,Isla Hoste,129.0,SOUTHEAST PACIFIC OCEAN,POINT (-68.960532 -55.246549),0,-1,Unknown
1,1028.0,-67.644515,-55.084701,Chile,Isla Navarino,1682.0,SOUTHEAST PACIFIC OCEAN,POINT (-67.644515 -55.084701),1,-1,Unknown
2,1152.0,-64.315773,-54.798325,Argentina,Isla de los Estados,240.0,SOUTHWEST ATLANTIC OCEAN,POINT (-64.315773 -54.798325),2,-1,Unknown
3,2147.0,-70.595284,-53.964415,Chile,Isla Dawson,129.0,SOUTHEAST PACIFIC OCEAN,POINT (-70.595284 -53.964415),3,-1,Unknown
4,3007.0,-68.677673,-54.054777,Argentina; Chile,Isla Tierra del Fuego,167448.0,SOUTHEAST PACIFIC OCEAN,POINT (-68.677673 -54.054777),4,-1,Unknown
5,4319.0,-60.111132,-51.750925,Falkland Islands,Half Tide Island,257.0,SOUTHWEST ATLANTIC OCEAN,POINT (-60.111132 -51.750925),5,-1,Unknown
6,4394.0,-58.75274,-51.740234,Falkland Islands,North Island,2564.0,SOUTHWEST ATLANTIC OCEAN,POINT (-58.75274 -51.740234),6,-1,Unknown
7,4660.0,-75.314895,-50.615007,Chile,Isla Duque de York,55.0,SOUTHEAST PACIFIC OCEAN,POINT (-75.314895 -50.615007),7,0,Unknown
8,4703.0,-75.353661,-50.390018,Chile,Isla Guarello,84.0,SOUTHEAST PACIFIC OCEAN,POINT (-75.353661 -50.390018),8,0,Unknown
9,4827.0,-75.15757,-50.232707,Chile,Isla Madre de Dios,305.0,SOUTHEAST PACIFIC OCEAN,POINT (-75.15757 -50.232707),9,0,Unknown
10,4997.0,-75.395651,-49.727178,Chile,Islote Zero,80.0,SOUTHEAST PACIFIC OCEAN,POINT (-75.395651 -49.727178),10,0,Unknown
11,5437.0,-74.784839,-49.39427,Chile,Isla Wellington,88.0,SOUTHEAST PACIFIC OCEAN,POINT (-74.784839 -49.39427),11,0,Unknown
12,6242.0,-73.662076,-45.58742,Chile,Isla Traiguen,197.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.662076 -45.58742),12,1,Unknown
13,6535.0,-73.919436,-45.128193,Chile,Isla Melchor,82.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.919436 -45.128193),13,1,Unknown
14,7166.0,-73.805109,-43.873289,Chile,Isla Ascension,1309.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.805109 -43.873289),14,1,Unknown
15,7217.0,-74.708425,-43.602388,Chile,Isla Guafo,615.0,SOUTHEAST PACIFIC OCEAN,POINT (-74.708425 -43.602388),15,1,Unknown
16,7260.0,-74.262261,-43.39073,Chile,Isla Quilan,76.0,SOUTHEAST PACIFIC OCEAN,POINT (-74.262261 -43.39073),16,1,Unknown
17,7264.0,-73.734572,-43.355868,Chile,Isla San Pedro,177.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.734572 -43.355868),17,1,Unknown
18,7267.0,-73.697673,-43.208407,Chile,Isla Coldita,204.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.697673 -43.208407),18,1,Unknown
19,7268.0,-73.607732,-43.221048,Chile,Isla Laitec,182.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.607732 -43.221048),19,1,Unknown
20,7279.0,-73.467764,-42.962449,Chile,Isla Tranqui,1321.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.467764 -42.962449),20,1,Unknown
21,7290.0,-73.287324,-42.641916,Chile,Isla Chaulinec,336.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.287324 -42.641916),21,1,Unknown
22,7292.0,-73.48501,-42.627017,Chile,Isla Quehui,291.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.48501 -42.627017),22,1,Unknown
23,7293.0,-73.029603,-42.618345,Chile,Isla Chulin,73.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.029603 -42.618345),23,1,Unknown
24,7300.0,-73.637015,-42.626536,Chile,Isla Lemuy,3785.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.637015 -42.626536),24,1,Unknown
25,7301.0,-73.217954,-42.60068,Chile,Isla Apiao,419.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.217954 -42.60068),25,1,Unknown
26,7303.0,-73.518318,-42.576544,Chile,Isla Chelin,511.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.518318 -42.576544),26,1,Unknown
27,7306.0,-73.266088,-42.488425,Chile,Isla Caguache,243.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.266088 -42.488425),27,1,Unknown
28,7308.0,-73.344718,-42.471847,Chile,Isla Quenac,388.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.344718 -42.471847),28,1,Unknown
29,7313.0,-73.307455,-42.41819,Chile,Isla Meulin,284.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.307455 -42.41819),29,1,Unknown
30,7314.0,-73.533591,-42.459181,Chile,Isla Quinchao,9953.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.533591 -42.459181),30,1,Unknown
31,7317.0,-73.436949,-42.38587,Chile,Isla Linlin,225.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.436949 -42.38587),31,1,Unknown
32,7333.0,-73.271558,-42.302504,Chile,Isla Mechuque,154.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.271558 -42.302504),32,1,Unknown
33,7338.0,-73.110327,-42.2942,Chile,Isla Buta Chauques,457.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.110327 -42.2942),33,1,Unknown
34,7348.0,-73.395889,-42.147317,Chile,Isla Caucahue,526.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.395889 -42.147317),34,1,Unknown
35,7384.0,-73.867497,-42.616831,Chile,Isla Chiloe,143230.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.867497 -42.616831),35,1,Unknown
36,7717.0,-73.913227,-38.370407,Chile,Isla Mocha,280.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.913227 -38.370407),36,-1,Unknown
37,7733.0,-12.285103,-37.112443,Saint Helena,Tristan da Cunha,321.0,SOUTHEAST ATLANTIC OCEAN,POINT (-12.285103 -37.112443),37,-1,Unknown
38,7735.0,-73.522026,-37.02628,Chile,Isla Santa Maria,1992.0,SOUTHEAST PACIFIC OCEAN,POINT (-73.522026 -37.02628),38,-1,Unknown
39,7803.0,-80.79197,-33.767484,Chile,Isla Alejandro Selkirk,473.0,SOUTHEAST PACIFIC OCEAN,POINT (-80.79197 -33.767484),39,-1,Unknown
40,7806.0,-78.848984,-33.647829,Chile,Isla Robinson Crusoe,414.0,SOUTHEAST PACIFIC OCEAN,POINT (-78.848984 -33.647829),40,-1,Unknown
41,8128.0,-44.238735,-23.155168,Brazil,Ilha Grande,6113.0,SOUTHWEST ATLANTIC OCEAN,POINT (-44.238735 -23.155168),41,-1,Unknown
42,8452.0,-14.367031,-7.943513,Saint Helena,Ascension Island,1077.0,SOUTHEAST ATLANTIC OCEAN,POINT (-14.367031 -7.943513),42,-1,Unknown
43,8489.0,-32.425866,-3.856477,Brazil,Ilha de Fernando de Noronha,2678.0,SOUTHWEST ATLANTIC OCEAN,POINT (-32.425866 -3.856477),43,-1,Unknown
44,8570.0,-109.354722,-27.119698,Chile,Isla de Pascua,7834.0,SOUTHEAST PACIFIC OCEAN,POINT (-109.354722 -27.119698),44,-1,Unknown
45,8589.0,-147.660436,-23.86732,French Polynesia,Raivavae,1491.0,SOUTHWEST PACIFIC OCEAN,POINT (-147.660436 -23.86732),45,-1,Unknown
46,8593.0,-149.479618,-23.3726,French Polynesia,Tubuai,1996.0,SOUTHWEST PACIFIC OCEAN,POINT (-149.479618 -23.3726),46,-1,Unknown
47,8615.0,-134.970757,-23.109741,French Polynesia,Ile Mangareva,83.0,SOUTHEAST PACIFIC OCEAN,POINT (-134.970757 -23.109741),47,-1,Unknown
48,8621.0,-151.345841,-22.474926,French Polynesia,Rurutu,872.0,SOUTHWEST PACIFIC OCEAN,POINT (-151.345841 -22.474926),48,-1,Unknown
49,8623.0,-157.91943,-21.928127,Cook Islands,Mangaia,237.0,SOUTHWEST PACIFIC OCEAN,POINT (-157.91943 -21.928127),49,-1,Unknown
50,8640.0,-140.623949,-21.691607,French Polynesia,,103.0,SOUTHWEST PACIFIC OCEAN,POINT (-140.623949 -21.691607),50,-1,Unknown
51,8652.0,-174.932571,-21.375878,Tonga,`Eua Island,4700.0,SOUTHWEST PACIFIC OCEAN,POINT (-174.932571 -21.375878),51,-1,Unknown
52,8654.0,-159.777546,-21.234623,Cook Islands,Rarotonga,5253.0,SOUTHWEST PACIFIC OCEAN,POINT (-159.777546 -21.234623),52,-1,Unknown
53,8669.0,-175.191861,-21.174082,Tonga,Tongatapu Island,74571.0,SOUTHWEST PACIFIC OCEAN,POINT (-175.191861 -21.174082),53,-1,Unknown
54,8702.0,-157.341429,-20.16117,Cook Islands,Mauke,150.0,SOUTHWEST PACIFIC OCEAN,POINT (-157.341429 -20.16117),54,2,Unknown
55,8715.0,-158.114432,-19.995684,Cook Islands,Atiu,221.0,SOUTHWEST PACIFIC OCEAN,POINT (-158.114432 -19.995684),55,2,Unknown
56,8737.0,-157.702198,-19.867127,Cook Islands,Mitiaro,58.0,SOUTHWEST PACIFIC OCEAN,POINT (-157.702198 -19.867127),56,2,Unknown
57,8777.0,-178.409686,-19.147765,Fiji,Ongea Levu,175.0,SOUTHWEST PACIFIC OCEAN,POINT (-178.409686 -19.147765),57,3,APAC
58,8782.0,-178.580599,-19.141772,Fiji,Nasuthu Island,122.0,SOUTHWEST PACIFIC OCEAN,POINT (-178.580599 -19.141772),58,3,APAC
59,8789.0,-169.858549,-19.052414,Niue,Niue Island,1757.0,SOUTHWEST PACIFIC OCEAN,POINT (-169.858549 -19.052414),59,-1,Unknown
60,8801.0,-178.95483,-18.955142,Fiji,Kambara Island,183.0,SOUTHWEST PACIFIC OCEAN,POINT (-178.95483 -18.955142),60,3,APAC
61,8813.0,-178.634073,-18.849543,Fiji,Namuka-i-Lau,135.0,SOUTHWEST PACIFIC OCEAN,POINT (-178.634073 -18.849543),61,3,APAC
62,8815.0,-159.782281,-18.859128,Cook Islands,Aitutaki,707.0,SOUTHWEST PACIFIC OCEAN,POINT (-159.782281 -18.859128),62,-1,Unknown
63,8891.0,-173.983608,-18.626123,Tonga,Vava`u Island,12091.0,SOUTHWEST PACIFIC OCEAN,POINT (-173.983608 -18.626123),63,-1,Unknown
64,8937.0,-178.789865,-18.211093,Fiji,Lakemba Island,542.0,SOUTHWEST PACIFIC OCEAN,POINT (-178.789865 -18.211093),64,3,APAC
65,8981.0,-179.052408,-17.978322,Fiji,Nayau Island,128.0,SOUTHWEST PACIFIC OCEAN,POINT (-179.052408 -17.978322),65,3,APAC
66,9006.0,-179.311637,-17.748381,Fiji,Thithia Island,719.0,SOUTHWEST PACIFIC OCEAN,POINT (-179.311637 -17.748381),66,3,APAC
67,9008.0,-178.819458,-17.674427,Fiji,Tuvutha Island,164.0,SOUTHWEST PACIFIC OCEAN,POINT (-178.819458 -17.674427),67,3,APAC
68,9009.0,-150.628687,-17.657071,French Polynesia,Maiao,261.0,SOUTHWEST PACIFIC OCEAN,POINT (-150.628687 -17.657071),68,4,Unknown
