ID,Long,Lat,Country,Island,pop,geometry,id,cluster,Region
4703,-75.353661,-50.390018,Chile,Isla Guarello,84,POINT (-75.353661 -50.390018),8,0,Unknown
7279,-73.467764,-42.962449,Chile,Isla Tranqui,1321,POINT (-73.467764 -42.962449),20,1,Unknown
8702,-157.341429,-20.16117,Cook Islands,Mauke,150,POINT (-157.341429 -20.16117),54,2,Unknown
9015,-149.400753,-17.677486,French Polynesia,Tahiti,166260,POINT (-149.400753 -17.677486),69,4,Unknown
9718,-139.013922,-9.774777,French Polynesia,Hiva Oa,3556,POINT (-139.013922 -9.774777),91,5,Unknown
9832,-156.927066,20.834995,United States,Lana?i,2723,POINT (-156.927066 20.834995),97,6,US
9906,-89.43056,-0.826798,Ecuador,Isla San Cristobal,9031,POINT (-89.43056 -0.826798),104,7,Unknown
10218,-81.75732,7.470821,Panama,Isla de Coiba,192,POINT (-81.75732 7.470821),107,8,Unknown
10344,-79.111002,8.264775,Panama,Isla San Jose,193,POINT (-79.111002 8.264775),108,9,Unknown
10860,-64.184634,10.815933,Venezuela,Isla Cubagua,51,POINT (-64.184634 10.815933),114,10,Unknown
11682,-63.054398,18.214736,Anguilla,Anguilla,15700,POINT (-63.054398 18.214736),150,11,Unknown
11573,-61.793378,17.631531,Antigua and Barbuda,Barbuda,1738,POINT (-61.793378 17.631531),143,11,Unknown
11229,-61.349988,15.434552,Dominica,Dominica,66329,POINT (-61.349988 15.434552),131,11,Unknown
11097,-61.453587,12.479535,Grenada,Carriacou Island,5368,POINT (-61.453587 12.479535),122,11,Unknown
11264,-61.268569,15.932114,Guadeloupe,Marie-Galante,12285,POINT (-61.268569 15.932114),132,11,Unknown
11221,-61.018115,14.652747,Martinique,Martinique,350805,POINT (-61.018115 14.652747),130,11,Unknown
11431,-62.189685,16.739452,Montserrat,Montserrat,5187,POINT (-62.189685 16.739452),137,11,Unknown
11565,-63.237528,17.631469,Netherlands Antilles,Saba,1795,POINT (-63.237528 17.631469),142,11,Europe
11653,-63.062734,18.061742,Netherlands Antilles; Guadeloupe,Ile Saint-Martin,69383,POINT (-63.062734 18.061742),147,11,Europe
11519,-62.765059,17.339227,Saint Kitts and Nevis,Saint Christopher,37292,POINT (-62.765059 17.339227),140,11,Unknown
11193,-60.966774,13.898433,Saint Lucia,Saint Lucia Island,156151,POINT (-60.966774 13.898433),129,11,Unknown
11176,-61.188975,13.251309,Saint Vincent and the Grenadines,Saint Vincent,81984,POINT (-61.188975 13.251309),128,11,Unknown
10928,-60.666351,11.241491,Trinidad and Tobago,Tobago,50212,POINT (-60.666351 11.241491),117,11,Unknown
11143,-87.711535,13.190003,El Salvador,Isla Meanguera,1648,POINT (-87.711535 13.190003),125,12,Unknown
11270,-86.932004,16.097974,Honduras,Isla de Utila,2705,POINT (-86.932004 16.097974),133,12,Unknown
12014,-86.902482,20.442404,Mexico,Isla Cozumel,97974,POINT (-86.902482 20.442404),168,12,Unknown
11779,-64.620064,18.424074,British Virgin Islands,Little Wickham's Cay,26556,POINT (-64.620064 18.424074),155,13,Unknown
11712,-65.289418,18.315046,Puerto Rico,Isla de Culebra,1408,POINT (-65.289418 18.315046),151,13,Unknown
11575,-64.768456,17.73286,Virgin Islands; U.S.,Saint Croix,49575,POINT (-64.768456 17.73286),144,13,Unknown
13007,-72.962294,22.374459,Bahamas,Mayaguana Island,232,POINT (-72.962294 22.374459),181,14,Unknown
11824,-73.748881,18.613216,Haiti,Grande Cayemite,3821,POINT (-73.748881 18.613216),159,14,Unknown
12389,-71.139484,21.465994,Turks and Caicos Islands,The Island,15849,POINT (-71.139484 21.465994),170,14,Unknown
11898,-81.243946,19.318442,Cayman Islands,Grand Cayman,54576,POINT (-81.243946 19.318442),164,15,Unknown
12526,-81.484967,21.634773,Cuba,Cayo Largo,1680,POINT (-81.484967 21.634773),173,15,Unknown
14402,-80.981059,24.747127,United States,Crawl Key,6637,POINT (-80.981059 24.747127),198,15,US
14001,-77.777172,24.14929,Bahamas,Middle Bight Cay,357,POINT (-77.777172 24.14929),190,16,US
11927,-79.798663,19.720189,Cayman Islands,Cayman Brac,1688,POINT (-79.798663 19.720189),166,16,Unknown
13230,-79.477052,22.715426,Cuba,Cayo Fragoso,65,POINT (-79.477052 22.715426),182,16,Unknown
13724,-75.849478,23.550259,Bahamas,Great Exuma Island,4274,POINT (-75.849478 23.550259),184,17,Unknown
13241,-74.201491,22.740112,Bahamas,Crooked Island,239,POINT (-74.201491 22.740112),183,18,Unknown
17969,-14.906013,10.85718,Guinea,Ile Kapken,484,POINT (-14.906013 10.85718),216,19,Unknown
18011,-15.935299,11.111525,Guinea-Bissau,Ilha de Orangozinho,1033,POINT (-15.935299 11.111525),217,19,Unknown
18180,-24.705479,14.851555,Cape Verde,Ilha Brava,5602,POINT (-24.705479 14.851555),235,20,Unknown
18199,-24.256203,16.598519,Cape Verde,Ilha de Sao Nicolau,11505,POINT (-24.256203 16.598519),240,21,Unknown
18241,-17.232609,28.117411,Spain,La Gomera,16571,POINT (-17.232609 28.117411),246,22,Europe
18245,-14.036486,28.406106,Spain,Isla de Fuerteventura,112915,POINT (-14.036486 28.406106),248,23,Europe
18460,-16.51515,32.528582,Portugal,Deserta Grande,86,POINT (-16.51515 32.528582),252,24,Europe
19103,-28.701332,38.578217,Portugal,Ilha do Faial,13589,POINT (-28.701332 38.578217),258,25,Europe
19284,-80.517215,32.313465,United States,Pritchards Island,661,POINT (-80.517215 32.313465),264,26,US
20208,-70.064404,41.277483,United States,Split Rock,10766,POINT (-70.064404 41.277483),275,27,US
20495,-123.147499,48.78442,Canada,Saturna Island,269,POINT (-123.147499 48.78442),282,28,US
20413,-122.802776,48.561184,United States,Blakely Island,88,POINT (-122.802776 48.561184),279,28,US
22969,-166.384804,53.980609,United States,,651,POINT (-166.384804 53.980609),305,29,US
24487,-132.789048,55.560451,United States,Prince of Wales Island,2951,POINT (-132.789048 55.560451),312,30,US
25303,-136.283729,57.749726,United States,Hill Island,1101,POINT (-136.283729 57.749726),317,31,US
28004,-68.844609,44.077281,United States,Vinal Falls,917,POINT (-68.844609 44.077281),331,32,US
29137,-59.854174,46.097555,Canada,,130857,POINT (-59.854174 46.097555),337,33,US
30228,-55.71603,49.528688,Canada,,1479,POINT (-55.71603 49.528688),352,34,US
29237,-56.322499,46.950712,Saint Pierre and Miquelon,Ile Miquelon,1130,POINT (-56.322499 46.950712),342,34,Unknown
36565,-50.693363,63.054036,Greenland,Qeqertarsuatsiaq,300,POINT (-50.693363 63.054036),361,35,Europe
38815,10.287933,42.77863,Italy,Isola d' Elba,28440,POINT (10.287933 42.77863),394,37,Europe
38776,16.872785,42.752929,Croatia,Otok Lastovo,770,POINT (16.872785 42.752929),392,38,Europe
39017,146.323889,43.630924,Russia,Taraku-jima,119,POINT (146.323889 43.630924),405,39,Unknown
40344,-9.72206,53.124995,Ireland,Inishmore,998,POINT (-9.72206 53.124995),442,40,Europe
40388,4.963325,53.256287,Netherlands,Vlieland,989,POINT (4.963325 53.256287),444,41,Europe
40776,8.597272,54.637761,Germany,Nordmarsch-Langeness,69,POINT (8.597272 54.637761),457,42,Europe
40860,12.040944,54.927349,Denmark,Bogo,1941,POINT (12.040944 54.927349),461,43,Europe
40783,13.397451,54.436568,Germany,Rugen,60018,POINT (13.397451 54.436568),458,43,Europe
41388,-6.885431,56.500406,United Kingdom,Tiree,2050,POINT (-6.885431 56.500406),490,44,Europe
42680,23.985236,58.12936,Estonia,Kihnu,628,POINT (23.985236 58.12936),512,45,Europe
42309,18.510063,57.48705,Sweden,Gotland,51836,POINT (18.510063 57.48705),510,46,Europe
44650,-2.774695,59.189172,United Kingdom,Eday,462,POINT (-2.774695 59.189172),527,47,Europe
48944,4.696453,61.035757,Norway,Ytre Sula,117,POINT (4.696453 61.035757),570,48,Europe
48239,20.562606,60.029736,?land,Ostersocknen,337,POINT (20.562606 60.029736),538,49,Europe
48534,21.990811,60.322832,Finland,Airismaa,68,POINT (21.990811 60.322832),559,49,Europe
48373,-1.1041,60.147895,United Kingdom,Bressay Island,629,POINT (-1.1041 60.147895),548,50,Europe
48254,-44.899592,60.050509,Greenland,Illukasik,32996,POINT (-44.899592 60.050509),540,51,Europe
49097,-6.736734,62.297646,Faroe Islands,Kalsoy,334,POINT (-6.736734 62.297646),582,52,Europe
49098,5.557193,62.353711,Norway,Nerlandsoya,456,POINT (5.557193 62.353711),583,53,Europe
49268,21.274124,63.229914,Finland,Vallgrund,3744,POINT (21.274124 63.229914),588,54,Europe
49372,20.9137,63.725596,Sweden,Angeson,550,POINT (20.9137 63.725596),597,54,Europe
49312,8.01753,63.398982,Norway,Smola,1511,POINT (8.01753 63.398982),592,55,Europe
52146,10.879286,33.792453,Tunisia,Ile de Jerba,171513,POINT (10.879286 33.792453),654,60,Unknown
52453,25.326532,36.721413,Greece,Nisos Ios,2117,POINT (25.326532 36.721413),678,61,Europe
53207,25.839947,40.161488,Turkey,Gokceada,16960,POINT (25.839947 40.161488),733,61,Europe
52943,14.936326,38.487207,Italy,Isola Lipari,5853,POINT (14.936326 38.487207),710,62,Europe
53107,20.163752,39.206052,Greece,Nisos Paxoi,1850,POINT (20.163752 39.206052),724,63,Europe
54042,47.598136,-14.549928,Madagascar,Nosy Lava,395,POINT (47.598136 -14.549928),753,64,APAC
54254,43.734357,-12.322965,Comoros,Chissioua Bouelamiradji,43035,POINT (43.734357 -12.322965),761,65,APAC
54179,45.143921,-12.823991,Mayotte,Mayotte,218112,POINT (45.143921 -12.823991),760,65,APAC
54504,39.359506,-6.140677,Tanzania,Zanzibar Island,1115726,POINT (39.359506 -6.140677),768,66,Unknown
