ID,Long,Lat,Country,Island,pop,geometry,id,cluster,Region
988,-68.960532,-55.246549,Chile,Isla Hoste,129,POINT (-68.960532 -55.246549),0,-1,Unknown
1028,-67.644515,-55.084701,Chile,Isla Navarino,1682,POINT (-67.644515 -55.084701),1,-1,Unknown
1152,-64.315773,-54.798325,Argentina,Isla de los Estados,240,POINT (-64.315773 -54.798325),2,-1,Unknown
2147,-70.595284,-53.964415,Chile,Isla Dawson,129,POINT (-70.595284 -53.964415),3,-1,Unknown
3007,-68.677673,-54.054777,Argentina; Chile,Isla Tierra del Fuego,167448,POINT (-68.677673 -54.054777),4,-1,Unknown
4319,-60.111132,-51.750925,Falkland Islands,Half Tide Island,257,POINT (-60.111132 -51.750925),5,-1,Unknown
4394,-58.75274,-51.740234,Falkland Islands,North Island,2564,POINT (-58.75274 -51.740234),6,-1,Unknown
4660,-75.314895,-50.615007,Chile,Isla Duque de York,55,POINT (-75.314895 -50.615007),7,0,Unknown
4703,-75.353661,-50.390018,Chile,Isla Guarello,84,POINT (-75.353661 -50.390018),8,0,Unknown
4827,-75.15757,-50.232707,Chile,Isla Madre de Dios,305,POINT (-75.15757 -50.232707),9,0,Unknown
4997,-75.395651,-49.727178,Chile,Islote Zero,80,POINT (-75.395651 -49.727178),10,0,Unknown
5437,-74.784839,-49.39427,Chile,Isla Wellington,88,POINT (-74.784839 -49.39427),11,0,Unknown
6242,-73.662076,-45.58742,Chile,Isla Traiguen,197,POINT (-73.662076 -45.58742),12,1,Unknown
6535,-73.919436,-45.128193,Chile,Isla Melchor,82,POINT (-73.919436 -45.128193),13,1,Unknown
7166,-73.805109,-43.873289,Chile,Isla Ascension,1309,POINT (-73.805109 -43.873289),14,1,Unknown
7217,-74.708425,-43.602388,Chile,Isla Guafo,615,POINT (-74.708425 -43.602388),15,1,Unknown
7260,-74.262261,-43.39073,Chile,Isla Quilan,76,POINT (-74.262261 -43.39073),16,1,Unknown
7264,-73.734572,-43.355868,Chile,Isla San Pedro,177,POINT (-73.734572 -43.355868),17,1,Unknown
7267,-73.697673,-43.208407,Chile,Isla Coldita,204,POINT (-73.697673 -43.208407),18,1,Unknown
7268,-73.607732,-43.221048,Chile,Isla Laitec,182,POINT (-73.607732 -43.221048),19,1,Unknown
7279,-73.467764,-42.962449,Chile,Isla Tranqui,1321,POINT (-73.467764 -42.962449),20,1,Unknown
7290,-73.287324,-42.641916,Chile,Isla Chaulinec,336,POINT (-73.287324 -42.641916),21,1,Unknown
7292,-73.48501,-42.627017,Chile,Isla Quehui,291,POINT (-73.48501 -42.627017),22,1,Unknown
7293,-73.029603,-42.618345,Chile,Isla Chulin,73,POINT (-73.029603 -42.618345),23,1,Unknown
7300,-73.637015,-42.626536,Chile,Isla Lemuy,3785,POINT (-73.637015 -42.626536),24,1,Unknown
7301,-73.217954,-42.60068,Chile,Isla Apiao,419,POINT (-73.217954 -42.60068),25,1,Unknown
7303,-73.518318,-42.576544,Chile,Isla Chelin,511,POINT (-73.518318 -42.576544),26,1,Unknown
