lat,lon,population,original_population,renewable_cost,storage_cost,electrical_storage_cost,thermal_storage_cost,lng_cost,other_equipment_cost,discard_cost,load_shedding_cost,renewable_cost_per_capita,storage_cost_per_capita,electrical_storage_cost_per_capita,thermal_storage_cost_per_capita,lng_cost_per_capita,other_equipment_cost_per_capita,discard_cost_per_capita,load_shedding_cost_per_capita,renewable_investment,renewable_om,storage_investment,storage_om,electrical_storage_investment,electrical_storage_om,thermal_storage_investment,thermal_storage_om,other_investment,other_om,lng_investment,lng_om,lng_purchase,IPCC_Region_Name,IPCC_Region_Code,Continent
-0.030217,103.626017,235,235,90724.26238379687,35568.776832580275,15441.694710481555,20127.08212209872,0.0,2336.9576504219267,131.11715999775734,0.3499650001036802,386.0606909948803,151.35649715991607,65.70933919353854,85.64715796637753,0.0,9.944500640093304,0.5579453616925845,0.0014892127663986392,58440.690734294694,32283.571649502173,26924.168653056746,8644.60817952353,11430.988892252306,4010.70581822925,15493.179760804438,4633.90236129428,1870.6972084450379,466.26044197688884,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.035119,103.659208,59,59,25381.008884281462,3920.909198789882,0.0,3920.909198789882,0.0,516.5389620119888,0.0,0.0,430.18659125900786,66.45608811508275,0.0,66.45608811508275,0.0,8.754897661220149,0.0,0.0,15866.100464936195,9514.908419345267,3018.1896548206173,902.7195439692648,0.0,0.0,3018.1896548206173,902.7195439692648,413.4811746008603,103.05778741112849,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.045282,130.124424,218,218,91967.08514299082,17915.424406225196,0.0,17915.424406225196,0.0,1964.0507694312446,0.0,0.0,421.8673630412423,82.18084590011559,0.0,82.18084590011559,0.0,9.009407199225892,0.0,0.0,57678.06288553522,34289.0222574556,13790.71686262923,4124.707543595967,0.0,0.0,13790.71686262923,4124.707543595967,1572.1912166256022,391.85955280564224,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.061393,98.276855,500,3977,214604.88118478487,41982.03634575968,0.0,41982.03634575968,0.0,4971.6775337024255,0.0,0.0,429.2097623695697,83.96407269151936,0.0,83.96407269151936,0.0,9.943355067404852,0.0,0.0,135401.4690535034,79203.41213128148,32316.419830936582,9665.616514823098,0.0,0.0,32316.419830936582,9665.616514823098,3979.7483201746836,991.9292135277419,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.074667,98.326246,500,556,214720.35741950595,42062.61125678685,0.0,42062.61125678685,0.0,4964.750970932009,0.0,0.0,429.4407148390119,84.12522251357369,0.0,84.12522251357369,0.0,9.929501941864018,0.0,0.0,135499.91030409944,79220.4471154065,32378.443803074308,9684.167453712542,0.0,0.0,32378.443803074308,9684.167453712542,3974.203717500177,990.5472534318319,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100428,129.466226,500,2067,210818.0232026797,41276.13959959748,0.0,41276.13959959748,0.0,4578.044715423704,0.0,0.0,421.6360464053594,82.55227919919497,0.0,82.55227919919497,0.0,9.156089430847407,0.0,0.0,132224.80644930285,78593.21675337684,31773.04324437961,9503.096355217871,0.0,0.0,31773.04324437961,9503.096355217871,3664.651547165806,913.3931682578977,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100626,103.536773,500,6890,96431.30217752891,21259.122299556562,12484.876058717555,8774.246240839006,151755.77250331,66963.8518200485,2952.3494497415654,0.949925000004426,192.8626043550578,42.518244599113125,24.96975211743511,17.54849248167801,303.51154500662,133.927703640097,5.90469889948313,0.001899850000008852,62079.87001200623,34351.43216552268,15885.897016470226,5373.2252830863345,9131.76477563122,3353.1112830863344,6754.132240839005,2020.1139999999998,46765.7148637332,20198.13695631529,7852.824659405768,1957.2710537719931,141945.67679013225,S.E.Asia,SEA,ASIA
-0.107722,127.241703,167,167,70727.21194102732,13998.03886982609,0.0,13998.03886982609,0.0,1564.8426588115624,0.0,0.0,423.51623916782825,83.82059203488677,0.0,83.82059203488677,0.0,9.370315322224924,0.0,0.0,44438.66301894367,26288.54892208365,10775.239609661276,3222.7992601648157,0.0,0.0,10775.239609661276,3222.7992601648157,1252.6315113010207,312.21114751054165,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.128063,109.15734,131,131,54181.153845482564,8677.7907604463,11.574961798040578,8666.21579864826,0.0,1091.3654022539943,0.0092949222273759,0.0020513682758784,413.5965942403249,66.24267756065878,0.08835848700794334,66.15431907365084,0.0,8.331033604992323,7.095360478912901e-05,1.565929981586565e-05,33798.3164409446,20382.83740453796,6679.498750712293,1998.292009734007,8.52486588072508,3.0500959173154976,6670.973884831568,1995.2419138166915,873.6205429402793,217.744859313715,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.158715,98.450703,500,3518,215045.04999014322,42265.559941954925,0.0,42265.559941954925,1.3673111184531254e-10,5000.17525028488,1.0154032015208284e-10,2.54960377803258e-08,430.0900999802864,84.53111988390985,0.0,84.53111988390985,2.734622236906251e-13,10.00035050056976,2.0308064030416567e-13,5.0992075560651606e-11,135774.52387789515,79270.52611224807,32534.667166324543,9730.892775630386,0.0,0.0,32534.667166324543,9730.892775630386,4002.560286324684,997.6149639601963,0.0,0.0,1.3673111184531254e-10,S.E.Asia,SEA,ASIA
