ID,Country,_match_country_name,_match_score,_match_method
4319,Falkland Islands,Northern Mariana Islands,85,"Match OK, but 2020 GNI is Null"
4394,Falkland Islands,Northern Mariana Islands,85,"Match OK, but 2020 GNI is Null"
7733,Saint Helena,,0,No Match
8452,Saint Helena,,0,No Match
9644,American Samoa,American Samoa,100,"Match OK, but 2020 GNI is Null"
9645,American Samoa,American Samoa,100,"Match OK, but 2020 GNI is Null"
10858,Venezuela,"Venezuela, RB",100,"Match OK, but 2020 GNI is Null"
10860,Venezuela,"Venezuela, RB",100,"Match OK, but 2020 GNI is Null"
10900,Venezuela,"Venezuela, RB",100,"Match OK, but 2020 GNI is Null"
11001,Venezuela,"Venezuela, RB",100,"Match OK, but 2020 GNI is Null"
11575,Virgin Islands; U.S.,Virgin Islands (U.S.),100,"Match OK, but 2020 GNI is Null"
11682,Anguilla,,0,No Match
11733,Virgin Islands; U.S.,Virgin Islands (U.S.),100,"Match OK, but 2020 GNI is Null"
11742,Virgin Islands; U.S.,Virgin Islands (U.S.),100,"Match OK, but 2020 GNI is Null"
11779,British Virgin Islands,British Virgin Islands,100,"Match OK, but 2020 GNI is Null"
11790,British Virgin Islands,British Virgin Islands,100,"Match OK, but 2020 GNI is Null"
11840,British Virgin Islands,British Virgin Islands,100,"Match OK, but 2020 GNI is Null"
12526,Cuba,Cuba,100,"Match OK, but 2020 GNI is Null"
12632,Cuba,Cuba,100,"Match OK, but 2020 GNI is Null"
13230,Cuba,Cuba,100,"Match OK, but 2020 GNI is Null"
36565,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
36719,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
37049,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
39921,Jersey,,0,No Match
39947,Guernsey,,0,No Match
47736,?land,,0,No Match
48239,?land,,0,No Match
48242,?land,,0,No Match
48254,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
48336,?land,,0,No Match
48371,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
48475,?land,,0,No Match
48482,?land,,0,No Match
48502,?land,,0,No Match
48650,?land,,0,No Match
48810,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
49492,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
49603,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
49801,Greenland,Greenland,100,"Match OK, but 2020 GNI is Null"
55222,Yemen,"Yemen, Rep.",100,"Match OK, but 2020 GNI is Null"
55241,Yemen,"Yemen, Rep.",100,"Match OK, but 2020 GNI is Null"
55315,Eritrea,Eritrea,100,"Match OK, but 2020 GNI is Null"
55398,Eritrea,Eritrea,100,"Match OK, but 2020 GNI is Null"
55431,Eritrea,Eritrea,100,"Match OK, but 2020 GNI is Null"
55444,Eritrea,Eritrea,100,"Match OK, but 2020 GNI is Null"
55472,Eritrea,Eritrea,100,"Match OK, but 2020 GNI is Null"
55478,Eritrea,Eritrea,100,"Match OK, but 2020 GNI is Null"
58456,Yemen,"Yemen, Rep.",100,"Match OK, but 2020 GNI is Null"
58470,Yemen,"Yemen, Rep.",100,"Match OK, but 2020 GNI is Null"
58510,Yemen,"Yemen, Rep.",100,"Match OK, but 2020 GNI is Null"
59054,Vietnam,,0,No Match
59132,Vietnam,,0,No Match
59189,Vietnam,,0,No Match
59419,Vietnam,,0,No Match
59449,Vietnam,,0,No Match
59451,Vietnam,,0,No Match
59526,Vietnam,,0,No Match
59527,Vietnam,,0,No Match
71614,Vietnam,,0,No Match
72078,Vietnam,,0,No Match
72668,Vietnam,,0,No Match
72765,Vietnam,,0,No Match
74754,Guam,Guam,100,"Match OK, but 2020 GNI is Null"
74908,Northern Mariana Islands,Northern Mariana Islands,100,"Match OK, but 2020 GNI is Null"
75038,Northern Mariana Islands,Northern Mariana Islands,100,"Match OK, but 2020 GNI is Null"
75050,Northern Mariana Islands,Northern Mariana Islands,100,"Match OK, but 2020 GNI is Null"
75090,Vietnam,,0,No Match
81061,Christmas Island,,0,No Match
85150,Saint Helena,,0,No Match
