lat,lon,total_cost_0,total_cost_2020,total_cost_2050,total_cost_future_2030,total_cost_future_2040,total_cost_future_2050,pop,Country
-55.246549,-68.960532,214785.00827616564,214824.2837475644,214803.62024332728,214735.0402502244,214582.2711367883,214406.826097956,129.0,Chile
-55.084701,-67.644515,463949.45355591225,463949.45355591207,463949.453555912,460981.6707529605,459957.1270985289,458773.4602060139,1682.0,Chile
-54.798325,-64.315773,174849.85787874175,245296.92594060628,245540.64967743878,244288.53838348316,243509.42647352332,242550.27096250193,240.0,Argentina
-54.054777,-68.677673,611031.7021412582,611031.702141258,611031.8270390809,611031.827039081,611031.827039081,610803.6973621683,167448.0,Argentina; Chile
-53.964415,-70.595284,116145.17829839553,116145.17829829396,116145.17829829389,114641.45608236793,114328.70429292216,113998.17272356819,129.0,Chile
-51.750925,-60.111132,196680.9044827636,253849.1826223737,232113.06626029825,224303.15669600893,220373.72579181183,220027.72553862917,257.0,Falkland Islands
-51.740234,-58.75274,401497.84802306624,410121.7749936994,410062.02395208395,408879.77920064155,407903.9157888016,406835.486269266,2564.0,Falkland Islands
-50.615007,-75.314895,38087.57222921979,78656.64052288944,82737.57869176252,80901.52356920182,79728.55366679947,78631.77508014668,55.0,Chile
-50.390018,-75.353661,57478.75545929199,134410.57371978226,75827.63169522656,72528.74589341416,72709.22153472755,71774.41190764119,84.0,Chile
-50.232707,-75.15757,223511.29816300992,291772.264457338,291829.76053870487,288930.2320476959,289773.67771051946,282642.9694024849,305.0,Chile
-49.727178,-75.395651,56801.56022166599,149128.22212387001,143525.34157384772,70263.11985464902,136654.94130135165,68607.64975765659,80.0,Chile
-49.39427,-74.784839,180297.9336433481,180297.9336433481,180297.93364338204,179912.5975268978,179721.40243190818,179489.1713246236,88.0,Chile
-46.987336,167.857856,231622.06041202912,358570.80516777746,360899.85891979584,341163.3462310116,335246.2067813685,329431.9214347648,882.0,New Zealand
-45.58742,-73.662076,147815.50463537915,147815.50463530445,147084.36819712725,145312.7715737498,144894.22279923776,144483.87027938102,197.0,Chile
-45.128193,-73.919436,51100.29187819062,143401.47744928784,91323.11078651692,69762.26998047641,86899.13208618501,85926.0989690668,82.0,Chile
-43.985413,170.480865,628449.3308840138,628449.3308840139,632641.6667290139,617648.5291962888,612037.2358370088,606701.0465078342,1110245.0,New Zealand
-43.873289,-73.805109,243732.82672469164,342087.4045829517,285851.3226298938,264781.2092304459,259384.54826803127,254164.62991911307,1309.0,Chile
-43.602388,-74.708425,227635.7823524897,288216.2742381433,246721.55557445867,224747.61730831466,219273.94417965625,214050.73774431882,615.0,Chile
